iter	Logloss
0	0.6920307001
1	0.6909109059
2	0.6898629021
3	0.6888038841
4	0.6879211652
5	0.6870309452
6	0.6860919307
7	0.6852368132
8	0.6843786123
9	0.6835379906
10	0.6827604217
11	0.681975689
12	0.6812957298
13	0.6806722326
14	0.6800032457
15	0.6793431581
16	0.678632478
17	0.6781349306
18	0.6775113512
19	0.6770477437
20	0.6765415522
21	0.67610902
22	0.6756121745
23	0.6751574185
24	0.6747408725
25	0.6743387609
26	0.6739692943
27	0.6735514215
28	0.6732157906
29	0.6728604124
30	0.6725153009
31	0.6721712384
32	0.6718905777
33	0.67159167
34	0.6713078724
35	0.671031236
36	0.6708017128
37	0.6704808873
38	0.6701986059
39	0.6699727097
40	0.6697117638
41	0.6695018086
42	0.6693208242
43	0.6691346172
44	0.6688567816
45	0.6686697894
46	0.6684671855
47	0.6683145329
48	0.6680286812
49	0.667871011
50	0.6676951682
51	0.6675388425
52	0.6673125348
53	0.6671401435
54	0.6670151264
55	0.6668867256
56	0.6666821263
57	0.6665233289
58	0.6662393638
59	0.6661121436
60	0.6660128174
61	0.6658652823
62	0.6657311698
63	0.6655793136
64	0.6654715319
65	0.6653037513
66	0.665126381
67	0.6650428546
68	0.66488836
69	0.6647262475
70	0.6646482142
71	0.6644978983
72	0.664324819
73	0.6642174065
74	0.6641312083
75	0.6640209898
76	0.6639098231
77	0.6637661164
78	0.6636626027
79	0.6634855192
80	0.6634270633
81	0.6633306967
82	0.6632815608
83	0.6631965759
84	0.6629610827
85	0.6628309303
86	0.6627540275
87	0.6626502319
88	0.6625758478
89	0.6623905861
90	0.6622510563
91	0.6620853072
92	0.6619852526
93	0.6619323743
94	0.6618406509
95	0.6617819027
96	0.6617221585
97	0.6616578958
98	0.6615734551
99	0.6615062567
100	0.6613855208
101	0.6612835225
102	0.6612163753
103	0.6610392682
104	0.6609762328
105	0.6609479725
106	0.6609008441
107	0.6608245732
108	0.6606777361
109	0.6606030414
110	0.6604348404
111	0.6603608283
112	0.6602965569
113	0.6602431593
114	0.6601494875
115	0.660070949
116	0.6600002575
117	0.6598992615
118	0.6597388306
119	0.6595723433
120	0.6595404379
121	0.6594250541
122	0.6593842672
123	0.6593099662
124	0.6592595223
125	0.6592004722
126	0.6591615431
127	0.6590352004
128	0.6589086593
129	0.6588514611
130	0.6587627868
131	0.6586263347
132	0.658595415
133	0.6584057948
134	0.6583256778
135	0.6582393642
136	0.6581676749
137	0.658120027
138	0.6579454427
139	0.6578013682
140	0.6576553793
141	0.6576235178
142	0.6575823565
143	0.6575297852
144	0.6574148874
145	0.6572952026
146	0.657219281
147	0.6571480192
148	0.6570811459
149	0.657028011
150	0.6569090581
151	0.6568610327
152	0.6567685369
153	0.6566675832
154	0.656537458
155	0.6564192145
156	0.6563617413
157	0.6561982105
158	0.6560788138
159	0.6559882061
160	0.6558654666
161	0.6557638524
162	0.6557391847
163	0.6556549931
164	0.6556089006
165	0.655498748
166	0.6554527627
167	0.6553634456
168	0.6553115234
169	0.6552408298
170	0.6551763952
171	0.6550734809
172	0.6549784836
173	0.6549405517
174	0.6548412112
175	0.6547919202
176	0.6547054722
177	0.654662064
178	0.6546134396
179	0.654503633
180	0.6544797653
181	0.6544148096
182	0.654302415
183	0.6542647278
184	0.6542186976
185	0.6541342395
186	0.6540554551
187	0.6539746224
188	0.6539080215
189	0.6538561744
190	0.653772466
191	0.6537335323
192	0.6536254044
193	0.653585486
194	0.6535361664
195	0.6534885097
196	0.6534155409
197	0.6532279092
198	0.6532194586
199	0.6531657902
200	0.6530876544
201	0.6529378518
202	0.6528748258
203	0.6527752538
204	0.652742067
205	0.6527240619
206	0.6526728655
207	0.6526301339
208	0.6524955484
209	0.6524024145
210	0.652355804
211	0.6522785296
212	0.6522668761
213	0.6522166599
214	0.6520919863
215	0.6520044189
216	0.6518736278
217	0.6518413382
218	0.6518058464
219	0.6516738163
220	0.6516347262
221	0.6515439442
222	0.6514522554
223	0.6513885218
224	0.6513688479
225	0.6513292845
226	0.6512128775
227	0.6510862478
228	0.6510170733
229	0.6509804247
230	0.6508884506
231	0.6508093208
232	0.6507410318
233	0.650639526
234	0.6505432222
235	0.650395199
236	0.6503650092
237	0.6502876912
238	0.6502086954
239	0.6501745016
240	0.6501137078
241	0.6500787187
242	0.64997738
243	0.6499461212
244	0.649844039
245	0.6497412781
246	0.649691441
247	0.6496259121
248	0.6495524366
249	0.6495270054
250	0.6494206926
251	0.6493723443
252	0.6492247676
253	0.6491906584
254	0.6491216988
255	0.649015339
256	0.6488945838
257	0.6488041657
258	0.6487700736
259	0.6486659612
260	0.6486429486
261	0.6485623068
262	0.6485246465
263	0.6484410496
264	0.6483166706
265	0.6482924957
266	0.6482554831
267	0.6481533306
268	0.6481325068
269	0.6480738413
270	0.6479462671
271	0.6479062123
272	0.6478223077
273	0.6477608582
274	0.6477170326
275	0.6476938695
276	0.6476833934
277	0.6476261522
278	0.6475216
279	0.6474362346
280	0.6474023184
281	0.6473279483
282	0.6472620354
283	0.6472437419
284	0.6471588612
285	0.647118827
286	0.6470428774
287	0.6469907303
288	0.6469464678
289	0.6468660218
290	0.6467910777
291	0.6467602692
292	0.6467321724
293	0.6467025986
294	0.6465928042
295	0.6465425979
296	0.6464916727
297	0.6464209248
298	0.6463399223
299	0.646291545
300	0.6462589084
301	0.6462047369
302	0.6461668995
303	0.6460876989
304	0.6459945858
305	0.6459498769
306	0.6458302795
