iter	Passed	Remaining
0	56	56754
1	58	29152
2	59	19915
3	61	15285
4	62	12408
5	63	10564
6	65	9261
7	66	8273
8	68	7509
9	69	6895
10	71	6391
11	72	5989
12	74	5637
13	75	5326
14	77	5059
15	78	4829
16	80	4625
17	80	4414
18	82	4251
19	83	4102
20	85	3972
21	86	3847
22	88	3740
23	89	3653
24	91	3561
25	92	3477
26	94	3394
27	95	3318
28	97	3250
29	98	3185
30	99	3125
31	101	3068
32	102	3017
33	104	2972
34	106	2929
35	107	2881
36	109	2837
37	110	2798
38	112	2761
39	113	2723
40	114	2686
41	116	2651
42	117	2618
43	119	2586
44	120	2562
45	122	2533
46	123	2506
47	124	2478
48	126	2454
49	128	2432
50	129	2412
51	131	2389
52	132	2368
53	134	2349
54	135	2327
55	137	2310
56	138	2294
57	140	2275
58	141	2257
59	143	2240
60	144	2224
61	145	2207
62	147	2191
63	148	2176
64	150	2161
65	151	2149
66	153	2138
67	155	2125
68	156	2112
69	158	2099
70	159	2087
71	161	2076
72	162	2063
73	164	2054
74	165	2044
75	167	2038
76	169	2030
77	171	2022
78	172	2014
79	174	2004
80	176	1996
81	178	1994
82	180	1992
83	182	1992
84	185	1996
85	187	1995
86	190	1993
87	192	1994
88	195	2001
89	198	2002
90	200	2000
91	202	1995
92	203	1985
93	205	1978
94	207	1974
95	209	1969
96	210	1960
97	212	1952
98	213	1945
99	215	1941
100	217	1935
101	219	1928
102	220	1920
103	222	1913
104	223	1907
105	225	1901
106	226	1893
107	228	1887
108	229	1880
109	232	1879
110	233	1873
111	235	1864
112	236	1856
113	238	1852
114	239	1846
115	241	1841
116	243	1835
117	244	1829
118	246	1825
119	248	1824
120	250	1818
121	252	1814
122	254	1811
123	255	1805
124	256	1798
125	258	1793
126	260	1787
127	261	1781
128	263	1778
129	265	1773
130	266	1767
131	267	1761
132	269	1754
133	270	1748
134	271	1742
135	273	1735
136	274	1729
137	275	1723
138	277	1718
139	278	1713
140	280	1710
141	282	1704
142	283	1699
143	285	1694
144	286	1689
145	287	1683
146	289	1678
147	290	1672
148	291	1666
149	293	1661
150	294	1656
151	296	1652
152	297	1648
153	299	1644
154	300	1639
155	302	1634
156	303	1629
157	304	1624
158	306	1619
159	307	1614
160	308	1609
161	310	1605
162	311	1601
163	313	1598
164	315	1594
165	316	1590
166	317	1586
167	319	1581
168	320	1577
169	322	1572
170	323	1568
171	324	1563
172	326	1561
173	328	1557
174	329	1554
175	331	1550
176	332	1546
177	334	1542
178	335	1537
179	336	1533
180	337	1528
181	339	1524
182	340	1520
183	341	1516
184	343	1514
185	345	1511
186	347	1508
187	348	1504
188	349	1501
189	351	1497
190	352	1494
191	354	1490
192	355	1487
193	357	1484
194	359	1483
195	360	1480
196	362	1477
197	364	1474
198	365	1470
199	366	1466
200	368	1462
201	369	1460
202	371	1456
203	372	1453
204	373	1450
205	375	1447
206	377	1444
207	378	1442
208	380	1439
209	381	1436
210	383	1432
